,CASTELLUCCIO,FEBBIO,CORTE BRUGNATELLA,SAVIGNANO DI RIGO,SAN LEO,VERUCCHIO,BADIA,GIARDINI MARGHERITA,PARCO RESISTENZA,PARCO BERTOZZI,MARECCHIA,DE AMICIS,VIA CHIARINI,FRANCHINI-ANGELONI,SAVIGNANO,SAN PIETRO CAPOFIUME,SAN LAZZARO,LUGAGNANO,GAVELLO,ROMA,CASTELLARANO,PARCO EDILCARANI,DELTA CERVIA,BESENZONE,CAORLE,PORTA SAN FELICE,ZALAMELLA,VILLA FULVIA,GHERARDI,PARCO FERRARI,PARCO MONTECUCCO,CENTO,BOGOLESE,SARAGAT,PARADIGNA,CENO,REMESINA,ISONZO,GIORDANI-FARNESE,S. LAZZARO,S. ROCCO,MALCANTONE,FLAMINIA,GIARDINI,MONTEBELLO,CITTADELLA,SAN FRANCESCO,GERBIDO,TIMAVO
2018-10-19,1.4771212547196624,1.4313637641589874,1.662757831681574,1.7160033436347992,1.7481880270062005,1.6901960800285136,1.5797835966168101,1.6812412373755872,,1.6434526764861874,1.7323937598229686,1.6901960800285136,1.7160033436347992,1.7160033436347992,1.7634279935629373,1.6812412373755872,1.6989700043360187,1.662757831681574,1.6232492903979006,1.7323937598229686,1.6989700043360187,1.6812412373755872,1.6720978579357175,1.6232492903979006,1.806179973983887,1.6901960800285136,1.7634279935629373,1.6812412373755872,,1.7634279935629373,1.6812412373755872,1.662757831681574,1.7558748556724915,1.6720978579357175,1.6989700043360187,1.6989700043360187,1.7403626894942439,1.7160033436347992,1.7558748556724915,1.7323937598229686,1.7323937598229686,1.7160033436347992,1.8388490907372552,,1.806179973983887,1.8129133566428555,1.7160033436347992,1.806179973983887,1.8260748027008264
2018-10-20,1.5185139398778875,1.4313637641589874,1.5563025007672873,1.7481880270062005,1.7558748556724915,1.6720978579357175,1.5440680443502757,1.6720978579357175,1.6901960800285136,1.662757831681574,1.7323937598229686,1.6532125137753437,1.6901960800285136,1.7634279935629373,1.7993405494535817,1.7481880270062005,1.6812412373755872,1.568201724066995,1.6532125137753437,1.7558748556724915,1.6532125137753437,1.6434526764861874,1.6901960800285136,1.6812412373755872,1.8325089127062364,1.662757831681574,1.7853298350107671,1.7242758696007892,,1.7242758696007892,1.6532125137753437,1.7403626894942439,1.7075701760979363,1.6720978579357175,1.6532125137753437,1.6901960800285136,1.7634279935629373,1.7708520116421442,1.6901960800285136,1.6901960800285136,1.7481880270062005,1.7242758696007892,1.8388490907372552,1.7708520116421442,1.7481880270062005,1.7708520116421442,1.6532125137753437,1.7634279935629373,1.7634279935629373
2018-10-21,1.3010299956639813,1.255272505103306,1.3979400086720377,1.4913616938342726,1.5185139398778875,1.4313637641589874,1.3617278360175928,1.5314789170422551,1.4771212547196624,1.462397997898956,1.5314789170422551,1.4913616938342726,1.5185139398778875,1.5185139398778875,1.568201724066995,1.5563025007672873,1.5797835966168101,1.3979400086720377,1.5797835966168101,1.4771212547196624,1.505149978319906,1.4913616938342726,1.414973347970818,1.5185139398778875,1.5797835966168101,1.505149978319906,1.5563025007672873,1.6334684555795866,,1.591064607026499,1.5797835966168101,1.6020599913279625,1.568201724066995,1.568201724066995,1.5185139398778875,1.6232492903979006,1.6232492903979006,1.6532125137753437,1.6434526764861874,1.568201724066995,1.6232492903979006,1.5797835966168101,,1.6020599913279625,1.6127838567197355,1.6434526764861874,1.5440680443502757,1.6812412373755872,1.6232492903979006
2018-10-22,1.0,1.041392685158225,0.8450980400142568,1.041392685158225,1.146128035678238,1.2041199826559248,1.1139433523068367,1.2041199826559248,1.1760912590556813,1.2304489213782739,1.2041199826559248,1.2787536009528289,1.2041199826559248,1.2787536009528289,1.255272505103306,1.041392685158225,1.3222192947339193,1.2304489213782739,1.4471580313422192,1.2304489213782739,1.3010299956639813,1.1760912590556813,1.2304489213782739,1.2041199826559248,1.2041199826559248,1.2041199826559248,1.255272505103306,1.2041199826559248,1.1139433523068367,1.3010299956639813,1.146128035678238,1.255272505103306,1.2304489213782739,1.2041199826559248,1.2304489213782739,1.2304489213782739,1.380211241711606,1.1760912590556813,1.2787536009528289,1.146128035678238,1.3617278360175928,1.2787536009528289,,1.380211241711606,1.3424226808222062,1.3010299956639813,1.3010299956639813,1.3424226808222062,1.3424226808222062
2018-10-23,0.9542425094393249,0.9030899869919435,1.0,1.1760912590556813,1.2041199826559248,1.2304489213782739,1.2041199826559248,1.255272505103306,1.3010299956639813,1.2787536009528289,1.2041199826559248,1.255272505103306,1.2787536009528289,1.3424226808222062,1.2787536009528289,1.255272505103306,1.380211241711606,,1.4771212547196624,1.2787536009528289,1.255272505103306,1.2304489213782739,1.3424226808222062,1.414973347970818,1.3617278360175928,1.3010299956639813,1.3222192947339193,1.4313637641589874,1.3979400086720377,1.380211241711606,1.414973347970818,1.414973347970818,,1.4471580313422192,1.414973347970818,1.4471580313422192,1.4313637641589874,1.462397997898956,1.505149978319906,1.414973347970818,1.3617278360175928,1.462397997898956,1.4313637641589874,1.4471580313422192,1.5185139398778875,1.505149978319906,1.3010299956639813,,1.505149978319906
2018-10-24,0.6020599913279624,0.3010299956639812,0.0,1.0,0.9030899869919435,1.1139433523068367,1.041392685158225,1.2787536009528289,1.3424226808222062,1.3010299956639813,1.2787536009528289,1.380211241711606,1.2787536009528289,1.3222192947339193,1.380211241711606,1.462397997898956,1.3979400086720377,1.0,1.6020599913279625,1.380211241711606,1.0,1.041392685158225,1.5185139398778875,1.255272505103306,1.5185139398778875,1.3222192947339193,1.5440680443502757,1.6232492903979006,1.6901960800285136,,1.2304489213782739,1.5185139398778875,1.255272505103306,1.3424226808222062,1.2041199826559248,1.2787536009528289,1.4471580313422192,,1.380211241711606,1.414973347970818,1.505149978319906,1.3617278360175928,1.414973347970818,1.3979400086720377,1.3222192947339193,1.2787536009528289,1.2304489213782739,1.414973347970818,1.505149978319906
2018-10-25,0.8450980400142568,1.1139433523068367,1.041392685158225,1.2041199826559248,1.380211241711606,1.414973347970818,1.6334684555795866,1.3979400086720377,1.414973347970818,1.4471580313422192,1.4471580313422192,1.5185139398778875,1.5185139398778875,1.5185139398778875,1.4471580313422192,1.4913616938342726,1.4771212547196624,1.5314789170422551,1.5314789170422551,1.5185139398778875,1.6434526764861874,1.6901960800285136,1.4313637641589874,1.7781512503836436,1.505149978319906,1.5314789170422551,1.4313637641589874,1.568201724066995,1.4471580313422192,,1.7323937598229686,1.591064607026499,1.8129133566428555,1.7634279935629373,1.7993405494535817,1.7708520116421442,1.662757831681574,,1.8195439355418688,1.792391689498254,1.7558748556724915,1.806179973983887,1.6127838567197355,1.7781512503836436,1.8573324964312685,1.8750612633917,1.6812412373755872,1.7993405494535817,1.8750612633917
2018-10-26,0.6989700043360189,1.041392685158225,1.041392685158225,1.0,0.9542425094393249,1.2041199826559248,1.568201724066995,1.3010299956639813,1.2041199826559248,1.3617278360175928,1.2304489213782739,1.4471580313422192,1.4471580313422192,1.3424226808222062,1.4313637641589874,1.414973347970818,1.3979400086720377,1.5563025007672873,1.3010299956639813,1.380211241711606,1.7075701760979363,1.7403626894942439,1.4471580313422192,1.5563025007672873,1.462397997898956,1.5440680443502757,1.4771212547196624,1.3979400086720377,1.4471580313422192,1.6532125137753437,1.662757831681574,1.3617278360175928,1.6812412373755872,1.5797835966168101,1.6720978579357175,1.6232492903979006,1.462397997898956,1.568201724066995,1.662757831681574,1.7403626894942439,1.414973347970818,1.6434526764861874,1.3979400086720377,1.6901960800285136,1.7634279935629373,1.7993405494535817,1.7323937598229686,,1.7634279935629373
2018-10-27,0.9030899869919435,0.9030899869919435,0.6020599913279624,1.041392685158225,1.041392685158225,1.0,1.2304489213782739,1.041392685158225,1.041392685158225,1.2041199826559248,1.041392685158225,1.0791812460476249,1.1139433523068367,1.2304489213782739,1.1139433523068367,1.1139433523068367,1.146128035678238,1.1760912590556813,1.1760912590556813,1.146128035678238,1.1139433523068367,1.3010299956639813,1.3979400086720377,1.3617278360175928,1.255272505103306,1.3222192947339193,1.1760912590556813,1.0791812460476249,1.3617278360175928,,1.414973347970818,1.0,1.505149978319906,1.4471580313422192,1.4471580313422192,1.414973347970818,1.2787536009528289,1.2787536009528289,1.3979400086720377,1.5314789170422551,1.380211241711606,1.4913616938342726,1.1760912590556813,1.3424226808222062,1.5440680443502757,1.568201724066995,1.2304489213782739,,1.5563025007672873
2018-10-28,0.9030899869919435,1.0,0.6020599913279624,0.7781512503836436,1.0,0.7781512503836436,0.7781512503836436,1.0,1.0,1.146128035678238,,1.1139433523068367,1.1139433523068367,1.1139433523068367,0.8450980400142568,0.9542425094393249,1.146128035678238,0.7781512503836436,1.0,1.2041199826559248,1.2041199826559248,1.3010299956639813,1.3424226808222062,1.0791812460476249,1.3010299956639813,1.2787536009528289,1.1139433523068367,0.9030899869919435,1.146128035678238,,1.041392685158225,1.0,1.255272505103306,1.2041199826559248,1.1760912590556813,1.146128035678238,1.0,1.2304489213782739,1.0791812460476249,1.255272505103306,1.0791812460476249,1.255272505103306,1.041392685158225,1.3010299956639813,1.2304489213782739,1.2304489213782739,1.3424226808222062,,1.3222192947339193
2018-10-29,1.4471580313422192,1.0,1.0,1.3222192947339193,1.4313637641589874,1.2787536009528289,1.0,1.2787536009528289,1.3010299956639813,1.380211241711606,1.146128035678238,1.2787536009528289,1.3617278360175928,1.3010299956639813,1.3010299956639813,1.2304489213782739,1.3979400086720377,1.041392685158225,1.2304489213782739,1.3979400086720377,1.380211241711606,1.3617278360175928,1.380211241711606,,1.4471580313422192,1.3979400086720377,1.3222192947339193,1.380211241711606,1.414973347970818,,1.146128035678238,1.2787536009528289,1.2304489213782739,1.2787536009528289,1.146128035678238,1.2041199826559248,1.255272505103306,1.4313637641589874,1.1139433523068367,1.3424226808222062,1.1760912590556813,1.2787536009528289,1.3617278360175928,1.3424226808222062,1.2041199826559248,1.2787536009528289,1.380211241711606,,1.3010299956639813
2018-10-30,,,0.7781512503836436,0.7781512503836436,1.041392685158225,0.9030899869919435,0.8450980400142568,1.0,1.041392685158225,0.9030899869919435,1.146128035678238,0.7781512503836436,1.0,1.0791812460476249,1.041392685158225,0.7781512503836436,0.9542425094393249,1.041392685158225,0.9030899869919435,0.9542425094393249,1.041392685158225,,0.3010299956639812,,0.9030899869919435,0.9542425094393249,0.9030899869919435,1.146128035678238,0.8450980400142568,,0.7781512503836436,1.0,0.9030899869919435,0.9030899869919435,0.9542425094393249,0.9030899869919435,1.041392685158225,1.1139433523068367,1.1139433523068367,0.9030899869919435,0.9030899869919435,0.8450980400142568,1.146128035678238,1.146128035678238,1.146128035678238,1.041392685158225,1.1139433523068367,1.0,1.2304489213782739
2018-10-31,0.9542425094393249,0.9030899869919435,0.8450980400142568,0.9030899869919435,1.0,1.1760912590556813,1.2041199826559248,1.2304489213782739,1.2304489213782739,1.1139433523068367,1.3010299956639813,1.2041199826559248,1.255272505103306,1.255272505103306,1.255272505103306,1.041392685158225,1.255272505103306,1.2787536009528289,1.2041199826559248,1.255272505103306,1.3424226808222062,,1.0,1.2787536009528289,1.2041199826559248,1.255272505103306,1.2787536009528289,1.1760912590556813,1.0,,1.2787536009528289,1.1760912590556813,1.255272505103306,1.3010299956639813,1.2787536009528289,1.2787536009528289,1.3617278360175928,1.380211241711606,1.3979400086720377,1.255272505103306,1.2304489213782739,1.2787536009528289,1.414973347970818,1.3617278360175928,1.3979400086720377,1.3979400086720377,1.505149978319906,,1.4313637641589874
2018-11-01,1.462397997898956,1.255272505103306,1.041392685158225,1.4471580313422192,1.0,1.2787536009528289,1.2304489213782739,1.380211241711606,1.380211241711606,1.3617278360175928,1.3617278360175928,1.3979400086720377,1.380211241711606,1.414973347970818,1.3424226808222062,1.2787536009528289,1.3424226808222062,1.2041199826559248,1.3010299956639813,1.4771212547196624,1.414973347970818,1.380211241711606,1.2787536009528289,1.2041199826559248,1.380211241711606,1.4471580313422192,1.380211241711606,1.3617278360175928,1.2787536009528289,1.2787536009528289,1.041392685158225,1.3222192947339193,1.2304489213782739,1.255272505103306,1.2304489213782739,1.1139433523068367,1.3424226808222062,1.462397997898956,1.2304489213782739,1.255272505103306,1.3010299956639813,1.255272505103306,1.380211241711606,1.3617278360175928,1.414973347970818,1.3617278360175928,1.462397997898956,1.146128035678238,1.505149978319906
2018-11-02,1.1139433523068367,1.2787536009528289,0.8450980400142568,0.7781512503836436,1.0,1.3617278360175928,1.2787536009528289,1.414973347970818,1.3979400086720377,1.3222192947339193,1.4471580313422192,1.3979400086720377,1.3979400086720377,1.4471580313422192,1.3979400086720377,1.380211241711606,1.4313637641589874,1.3424226808222062,1.414973347970818,1.4313637641589874,1.414973347970818,1.3424226808222062,1.414973347970818,1.3979400086720377,1.3222192947339193,1.462397997898956,1.380211241711606,1.3979400086720377,1.1760912590556813,1.3979400086720377,1.3010299956639813,1.4313637641589874,1.380211241711606,1.4313637641589874,1.3979400086720377,1.3617278360175928,1.414973347970818,1.4771212547196624,1.4471580313422192,1.3222192947339193,1.4471580313422192,1.462397997898956,1.4771212547196624,1.4471580313422192,1.5185139398778875,1.505149978319906,1.4313637641589874,1.380211241711606,1.5314789170422551
2018-11-03,0.6020599913279624,0.9542425094393249,0.3010299956639812,0.47712125471966244,0.9542425094393249,1.3424226808222062,1.146128035678238,1.2304489213782739,1.255272505103306,1.3617278360175928,1.3424226808222062,1.255272505103306,1.2787536009528289,1.3424226808222062,1.3010299956639813,1.255272505103306,1.1760912590556813,1.2041199826559248,1.2304489213782739,1.3222192947339193,1.3424226808222062,1.3617278360175928,1.414973347970818,1.4471580313422192,1.3222192947339193,1.3010299956639813,1.3222192947339193,1.3010299956639813,1.2304489213782739,1.3424226808222062,1.3617278360175928,1.2041199826559248,1.4471580313422192,1.462397997898956,1.4471580313422192,1.3424226808222062,1.255272505103306,1.4313637641589874,1.380211241711606,1.3010299956639813,1.3617278360175928,1.4771212547196624,1.3979400086720377,1.3424226808222062,1.505149978319906,1.4471580313422192,1.414973347970818,1.380211241711606,1.4771212547196624
2018-11-04,0.9542425094393249,1.041392685158225,0.8450980400142568,0.47712125471966244,1.2304489213782739,1.4771212547196624,1.2787536009528289,1.462397997898956,1.4771212547196624,1.5185139398778875,1.4471580313422192,1.5185139398778875,1.4913616938342726,1.5314789170422551,1.4913616938342726,1.3424226808222062,1.4471580313422192,1.3222192947339193,1.2787536009528289,1.568201724066995,1.4771212547196624,1.414973347970818,1.5440680443502757,1.3010299956639813,1.5185139398778875,1.4913616938342726,1.5185139398778875,1.414973347970818,1.3222192947339193,1.4913616938342726,1.3617278360175928,1.380211241711606,1.462397997898956,1.414973347970818,1.4771212547196624,1.3617278360175928,1.380211241711606,1.505149978319906,1.3979400086720377,1.4471580313422192,1.414973347970818,1.4771212547196624,1.5797835966168101,1.505149978319906,1.5185139398778875,1.505149978319906,1.4771212547196624,1.3979400086720377,1.5440680443502757
2018-11-05,0.8450980400142568,0.9542425094393249,0.8450980400142568,0.8450980400142568,1.146128035678238,1.1760912590556813,1.255272505103306,1.2787536009528289,1.3010299956639813,1.3424226808222062,1.3010299956639813,1.2787536009528289,1.3010299956639813,1.2787536009528289,1.380211241711606,1.3010299956639813,1.2787536009528289,1.2304489213782739,1.255272505103306,1.414973347970818,1.380211241711606,1.414973347970818,1.3617278360175928,1.2787536009528289,1.4471580313422192,1.4471580313422192,1.4471580313422192,1.3617278360175928,1.3010299956639813,1.4913616938342726,1.3010299956639813,1.2787536009528289,1.414973347970818,1.3979400086720377,1.3617278360175928,1.3010299956639813,1.3010299956639813,1.4771212547196624,1.3222192947339193,1.4313637641589874,1.3010299956639813,1.414973347970818,1.4771212547196624,1.4913616938342726,1.4313637641589874,1.462397997898956,1.5563025007672873,1.3424226808222062,1.4913616938342726
2018-11-06,0.7781512503836436,0.7781512503836436,0.7781512503836436,0.7781512503836436,0.9030899869919435,0.9542425094393249,1.380211241711606,1.1139433523068367,1.2041199826559248,1.2041199826559248,1.1760912590556813,1.255272505103306,1.146128035678238,1.2304489213782739,1.255272505103306,1.146128035678238,1.2304489213782739,1.3222192947339193,1.2041199826559248,1.2041199826559248,1.414973347970818,1.414973347970818,1.2304489213782739,1.3617278360175928,1.3222192947339193,1.3010299956639813,1.3617278360175928,1.1760912590556813,1.0791812460476249,1.146128035678238,1.3222192947339193,1.0791812460476249,1.3979400086720377,1.4471580313422192,1.414973347970818,1.380211241711606,1.255272505103306,1.3617278360175928,1.4471580313422192,1.3424226808222062,1.2787536009528289,1.414973347970818,1.3424226808222062,1.2787536009528289,1.505149978319906,1.4913616938342726,1.6127838567197355,1.4313637641589874,1.3617278360175928
2018-11-07,0.8450980400142568,0.6020599913279624,0.6989700043360189,0.7781512503836436,0.9542425094393249,0.9542425094393249,1.1760912590556813,1.3617278360175928,1.255272505103306,,1.2304489213782739,1.3010299956639813,1.4313637641589874,1.1760912590556813,1.2041199826559248,1.2304489213782739,1.4313637641589874,1.146128035678238,1.3617278360175928,1.3222192947339193,1.380211241711606,1.4471580313422192,1.1760912590556813,1.255272505103306,1.3617278360175928,1.4913616938342726,1.3979400086720377,1.3010299956639813,1.146128035678238,1.462397997898956,1.2304489213782739,1.3010299956639813,1.4313637641589874,1.414973347970818,1.414973347970818,1.2787536009528289,1.414973347970818,1.4471580313422192,1.255272505103306,1.4313637641589874,1.380211241711606,1.4313637641589874,1.3010299956639813,1.5563025007672873,1.5563025007672873,1.462397997898956,1.568201724066995,1.3222192947339193,1.5563025007672873
2018-11-08,0.9542425094393249,0.8450980400142568,0.6989700043360189,0.8450980400142568,0.7781512503836436,1.041392685158225,1.1139433523068367,1.1139433523068367,1.146128035678238,1.0791812460476249,1.3222192947339193,1.2041199826559248,1.2041199826559248,1.146128035678238,1.255272505103306,1.2304489213782739,1.2787536009528289,1.255272505103306,1.3617278360175928,1.2041199826559248,1.3222192947339193,1.2787536009528289,0.6989700043360189,1.2304489213782739,1.3424226808222062,1.2304489213782739,1.2787536009528289,,1.414973347970818,1.3424226808222062,1.255272505103306,1.3424226808222062,1.3424226808222062,1.380211241711606,1.3979400086720377,1.2304489213782739,1.4313637641589874,1.4471580313422192,1.255272505103306,1.255272505103306,1.3617278360175928,1.414973347970818,1.3617278360175928,1.380211241711606,1.505149978319906,1.414973347970818,1.462397997898956,1.3010299956639813,1.3979400086720377
2018-11-09,0.9030899869919435,0.9542425094393249,1.0,0.9542425094393249,1.2041199826559248,1.2041199826559248,1.3424226808222062,1.505149978319906,1.3424226808222062,1.3617278360175928,1.3979400086720377,1.462397997898956,1.5185139398778875,1.3617278360175928,1.3424226808222062,1.3617278360175928,1.505149978319906,1.5185139398778875,1.3617278360175928,1.414973347970818,1.6232492903979006,1.6532125137753437,1.3222192947339193,1.4471580313422192,1.462397997898956,,1.4771212547196624,1.4471580313422192,1.414973347970818,1.6812412373755872,1.5185139398778875,1.4313637641589874,1.6020599913279625,1.568201724066995,1.6127838567197355,1.568201724066995,1.5563025007672873,1.6020599913279625,1.6232492903979006,1.6812412373755872,1.5797835966168101,1.591064607026499,1.505149978319906,1.7242758696007892,1.662757831681574,1.6532125137753437,1.6812412373755872,1.5797835966168101,1.7403626894942439
2018-11-10,1.0,1.0,0.9030899869919435,1.0791812460476249,1.255272505103306,1.2787536009528289,1.414973347970818,1.5314789170422551,1.3010299956639813,1.380211241711606,1.4913616938342726,1.4913616938342726,1.4771212547196624,1.3979400086720377,1.4471580313422192,1.3979400086720377,1.462397997898956,1.4771212547196624,1.3979400086720377,1.414973347970818,1.5563025007672873,1.6020599913279625,1.5185139398778875,1.5797835966168101,1.5440680443502757,1.5185139398778875,1.5797835966168101,1.380211241711606,1.255272505103306,1.662757831681574,1.5797835966168101,1.4771212547196624,1.6020599913279625,1.6127838567197355,1.591064607026499,1.591064607026499,1.662757831681574,1.505149978319906,1.6434526764861874,1.6020599913279625,1.6334684555795866,1.6334684555795866,1.5797835966168101,1.6901960800285136,1.662757831681574,1.6532125137753437,1.6334684555795866,1.6020599913279625,1.7160033436347992
2018-11-11,0.9030899869919435,1.0791812460476249,0.9542425094393249,1.0,1.1139433523068367,1.1760912590556813,1.568201724066995,1.5797835966168101,1.3010299956639813,1.3010299956639813,1.414973347970818,1.4913616938342726,1.591064607026499,1.3979400086720377,1.4313637641589874,1.4913616938342726,1.568201724066995,1.6020599913279625,1.4471580313422192,1.3424226808222062,1.7160033436347992,1.7323937598229686,1.414973347970818,1.568201724066995,1.3979400086720377,1.6232492903979006,1.4771212547196624,1.568201724066995,1.462397997898956,1.591064607026499,1.6434526764861874,1.5185139398778875,1.591064607026499,1.591064607026499,1.6127838567197355,1.568201724066995,1.5563025007672873,1.6720978579357175,1.6434526764861874,1.6020599913279625,1.568201724066995,1.6020599913279625,1.4913616938342726,1.6434526764861874,1.7160033436347992,1.7323937598229686,1.6720978579357175,1.6232492903979006,1.6989700043360187
2018-11-12,1.146128035678238,1.1139433523068367,0.9030899869919435,1.1139433523068367,1.255272505103306,1.3222192947339193,1.4913616938342726,1.6434526764861874,1.4313637641589874,1.5563025007672873,1.4471580313422192,1.6020599913279625,1.6434526764861874,1.4313637641589874,1.4471580313422192,1.5440680443502757,1.5563025007672873,1.4313637641589874,1.5440680443502757,1.5185139398778875,1.7558748556724915,1.7634279935629373,,1.5314789170422551,1.591064607026499,1.6901960800285136,1.5314789170422551,1.6334684555795866,1.4913616938342726,1.6532125137753437,1.462397997898956,1.6127838567197355,1.6020599913279625,1.591064607026499,1.6434526764861874,1.5314789170422551,1.6334684555795866,1.6720978579357175,1.5797835966168101,1.6127838567197355,1.6020599913279625,1.6020599913279625,1.5185139398778875,1.7160033436347992,1.7481880270062005,1.7403626894942439,1.792391689498254,1.5797835966168101,1.7160033436347992
2018-11-13,1.0791812460476249,1.146128035678238,1.041392685158225,1.0791812460476249,1.0791812460476249,1.3617278360175928,1.3617278360175928,1.5185139398778875,1.5563025007672873,1.5314789170422551,1.568201724066995,1.591064607026499,1.4313637641589874,1.5314789170422551,1.591064607026499,1.6020599913279625,1.568201724066995,1.414973347970818,1.568201724066995,1.5563025007672873,1.462397997898956,1.5314789170422551,1.414973347970818,1.3979400086720377,1.5797835966168101,1.462397997898956,1.5797835966168101,1.591064607026499,1.591064607026499,1.6127838567197355,1.4471580313422192,1.591064607026499,1.505149978319906,1.4313637641589874,1.5314789170422551,1.4913616938342726,1.6232492903979006,1.7160033436347992,1.5314789170422551,1.5314789170422551,1.505149978319906,1.4771212547196624,1.6720978579357175,1.662757831681574,1.6232492903979006,1.5440680443502757,1.568201724066995,1.5314789170422551,1.6901960800285136
2018-11-14,1.2304489213782739,1.1760912590556813,1.0,1.3222192947339193,1.414973347970818,1.5440680443502757,1.4313637641589874,1.7075701760979363,1.662757831681574,1.6812412373755872,1.6434526764861874,1.7242758696007892,1.7075701760979363,1.6434526764861874,1.6334684555795866,1.6127838567197355,1.7558748556724915,1.505149978319906,1.6334684555795866,1.7075701760979363,1.6127838567197355,1.6532125137753437,1.5440680443502757,1.4913616938342726,1.6532125137753437,1.6989700043360187,1.662757831681574,1.7242758696007892,1.5797835966168101,1.7403626894942439,1.5440680443502757,1.7323937598229686,1.6232492903979006,1.5563025007672873,1.6020599913279625,1.5797835966168101,1.6901960800285136,1.7853298350107671,1.6334684555795866,1.6232492903979006,1.6334684555795866,1.568201724066995,1.6989700043360187,1.7993405494535817,1.7160033436347992,1.6901960800285136,1.7323937598229686,1.568201724066995,1.7481880270062005
2018-11-15,1.0791812460476249,1.0791812460476249,1.2304489213782739,1.3617278360175928,1.5314789170422551,1.6127838567197355,1.414973347970818,1.6812412373755872,1.6532125137753437,1.6901960800285136,1.6434526764861874,1.7075701760979363,1.7160033436347992,1.6989700043360187,1.7242758696007892,1.3617278360175928,1.7075701760979363,1.5440680443502757,1.3424226808222062,1.7481880270062005,1.6532125137753437,1.6901960800285136,1.462397997898956,1.6127838567197355,1.5314789170422551,1.6720978579357175,1.4913616938342726,1.3979400086720377,1.3010299956639813,1.7634279935629373,1.568201724066995,,1.6812412373755872,1.7403626894942439,1.6812412373755872,1.6334684555795866,1.6720978579357175,1.4771212547196624,1.6434526764861874,1.6532125137753437,1.6720978579357175,1.6989700043360187,1.7481880270062005,1.8195439355418688,1.7160033436347992,1.7323937598229686,1.7160033436347992,1.6720978579357175,1.7403626894942439
2018-11-16,1.1139433523068367,1.1139433523068367,1.1760912590556813,1.146128035678238,1.1760912590556813,1.2041199826559248,1.3979400086720377,1.4771212547196624,1.3010299956639813,1.3979400086720377,1.255272505103306,1.4913616938342726,1.4313637641589874,1.3222192947339193,1.3010299956639813,1.1760912590556813,1.5314789170422551,1.4471580313422192,1.2787536009528289,1.3617278360175928,1.4913616938342726,1.5314789170422551,1.2041199826559248,1.380211241711606,1.2787536009528289,1.462397997898956,1.3424226808222062,1.3424226808222062,,1.4771212547196624,1.462397997898956,1.380211241711606,1.4313637641589874,1.4471580313422192,1.4471580313422192,1.4913616938342726,1.414973347970818,1.4313637641589874,1.5563025007672873,1.4771212547196624,1.414973347970818,1.4313637641589874,1.414973347970818,1.5440680443502757,1.5563025007672873,1.5185139398778875,1.5797835966168101,1.5563025007672873,1.5314789170422551
2018-11-17,1.041392685158225,1.041392685158225,1.1139433523068367,1.1139433523068367,1.0791812460476249,1.0,1.2787536009528289,1.3222192947339193,1.1760912590556813,1.2304489213782739,1.1139433523068367,1.3222192947339193,1.3222192947339193,1.146128035678238,1.0791812460476249,1.041392685158225,1.4471580313422192,1.4313637641589874,1.1760912590556813,1.2041199826559248,1.414973347970818,1.4313637641589874,1.146128035678238,1.2041199826559248,1.146128035678238,1.3222192947339193,1.2304489213782739,1.2304489213782739,,1.3424226808222062,1.3979400086720377,1.2787536009528289,1.3222192947339193,1.3010299956639813,1.3222192947339193,1.380211241711606,1.3222192947339193,1.3010299956639813,1.3979400086720377,1.380211241711606,1.2787536009528289,1.2787536009528289,1.3424226808222062,1.4471580313422192,1.4471580313422192,1.3617278360175928,1.5314789170422551,1.4913616938342726,1.4771212547196624
2018-11-18,1.146128035678238,1.0,1.1760912590556813,1.0,1.1139433523068367,1.146128035678238,1.2304489213782739,1.3222192947339193,1.3010299956639813,1.3222192947339193,1.146128035678238,1.380211241711606,1.3424226808222062,1.3010299956639813,1.255272505103306,1.146128035678238,1.414973347970818,1.3617278360175928,1.2304489213782739,1.2787536009528289,1.414973347970818,1.414973347970818,1.2787536009528289,1.2304489213782739,1.3010299956639813,1.3010299956639813,1.3222192947339193,1.255272505103306,1.2041199826559248,1.3222192947339193,1.380211241711606,1.380211241711606,1.3979400086720377,1.3617278360175928,1.3617278360175928,1.414973347970818,1.3617278360175928,1.3010299956639813,1.3617278360175928,1.3617278360175928,1.3424226808222062,1.380211241711606,1.3979400086720377,1.414973347970818,1.3617278360175928,1.2787536009528289,1.380211241711606,1.3617278360175928,1.4313637641589874
2018-11-19,0.8450980400142568,0.9030899869919435,1.0791812460476249,1.0791812460476249,1.1139433523068367,1.255272505103306,1.2041199826559248,1.3424226808222062,1.2787536009528289,1.3222192947339193,1.2304489213782739,1.3424226808222062,1.3010299956639813,1.3222192947339193,1.3617278360175928,1.1139433523068367,1.414973347970818,1.3010299956639813,1.3010299956639813,1.2787536009528289,1.3979400086720377,1.380211241711606,1.462397997898956,1.2787536009528289,1.3222192947339193,1.3010299956639813,1.3010299956639813,1.2041199826559248,1.2041199826559248,1.3979400086720377,1.3424226808222062,1.3979400086720377,1.414973347970818,1.380211241711606,1.3617278360175928,1.3617278360175928,1.4471580313422192,1.3010299956639813,1.3617278360175928,1.4471580313422192,1.380211241711606,1.3979400086720377,1.414973347970818,1.505149978319906,1.3424226808222062,1.3010299956639813,1.4771212547196624,1.4313637641589874,1.462397997898956
